"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"PHL","Philippines",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA
"POL","Poland",NA,NA,11.4,NA,NA,NA,NA,11.4,NA,NA,NA,NA,11.4,NA,NA,NA,NA,11.4,NA,NA,NA,NA,11.4,NA
"PRT","Portugal",NA,NA,50.9,NA,NA,NA,NA,50.9,NA,NA,NA,NA,50.9,NA,NA,NA,NA,50.9,NA,NA,NA,NA,50.9,NA
"QAT","Qatar",NA,NA,3.448,NA,NA,NA,NA,3.448,NA,NA,NA,NA,3.448,NA,NA,NA,NA,3.448,NA,NA,NA,NA,3.448,NA
"ROU","Romania",NA,NA,80.01,NA,NA,NA,NA,80.01,NA,NA,NA,NA,80.01,NA,NA,NA,NA,80.01,NA,NA,NA,NA,80.01,NA
"RUS","Russian Federation",NA,NA,4.716,NA,NA,NA,NA,4.716,NA,NA,NA,NA,4.716,NA,NA,NA,NA,4.716,NA,NA,NA,NA,4.716,NA
"RWA","Rwanda",NA,NA,28.57,NA,NA,NA,NA,28.57,NA,NA,NA,NA,28.57,NA,NA,NA,NA,28.57,NA,NA,NA,NA,28.57,NA
"KNA","Saint Kitts and Nevis",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA
"LCA","Saint Lucia",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA
"VCT","Saint Vincent and the Grenadines",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA
"WSM","Samoa",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA
